,host_acceptance_rate,host_is_superhost,host_identity_verified,latitude,bathrooms,price,has_availability,instant_bookable,Private room,within a day,within a few hours,kitchen,Breakfast,Nespresso machine,TV,security_cameras,Wifi,hot_water,log_min_nights,log_max_nights,log_nreviews,log_accommo
7746,89.0,0,1,38.01413,2.0,20.0,1,0,1,0,1,1,0,0,1,0,1,0,1.7047480922384253,7.025982660346787,0.4054651081081644,0.4054651081081644
7747,94.0,0,1,38.01298,1.0,40.0,1,0,0,0,0,1,0,0,1,0,1,1,1.252762968495368,3.417726683613366,1.8718021769015913,0.9162907318741551
7748,50.0,0,1,37.98967,1.0,49.0,1,0,0,0,1,1,0,0,1,0,1,1,4.505349850705881,5.914853444736141,-0.6931471805599453,1.5040773967762742
7749,67.0,0,1,37.97566,1.0,80.0,1,1,1,0,0,0,0,0,1,0,1,1,0.4054651081081644,0.4054651081081644,0.4054651081081644,0.9162907318741551
7750,100.0,0,0,37.9794,1.0,50.0,1,1,0,0,0,1,1,1,1,0,1,1,0.4054651081081644,3.417726683613366,1.5040773967762742,0.9162907318741551
7751,99.0,1,1,37.97789,1.0,127.0,1,1,1,0,0,0,0,1,0,1,1,1,0.4054651081081644,7.025982660346787,-0.6931471805599453,0.9162907318741551
7752,94.0,0,1,37.99498,1.0,23.0,1,1,0,0,0,1,0,0,1,0,1,1,0.9162907318741551,7.025982660346787,2.0149030205422647,1.252762968495368
7753,100.0,0,0,37.98906,1.0,27.0,1,0,0,0,0,1,0,0,0,0,0,1,3.417726683613366,5.901266279189834,-0.6931471805599453,0.9162907318741551
7754,99.0,0,1,37.97837,1.0,91.0,1,1,0,0,0,1,0,0,1,1,1,1,0.4054651081081644,7.025982660346787,4.182050142641207,0.9162907318741551
7755,100.0,0,1,37.9817,1.0,48.0,1,1,0,0,0,1,0,1,0,1,1,1,0.9162907318741551,7.025982660346787,3.5409593240373143,1.252762968495368
7756,100.0,0,1,37.9817,1.0,43.0,1,1,1,0,0,1,0,1,0,1,1,1,0.9162907318741551,7.025982660346787,3.3141860046725258,1.252762968495368
7757,100.0,0,1,37.9817,1.0,42.0,1,1,0,0,0,0,0,1,0,1,1,1,0.9162907318741551,7.025982660346787,2.8622008809294686,1.252762968495368
7758,67.0,0,1,37.97708,1.0,52.0,1,0,0,0,1,1,0,0,1,0,1,1,0.9162907318741551,7.025982660346787,2.2512917986064953,0.9162907318741551
7759,100.0,0,1,37.96997,1.0,23.0,1,1,0,0,0,1,0,0,1,0,1,1,0.4054651081081644,5.901266279189834,2.1400661634962708,0.9162907318741551
7760,89.0,0,1,37.98417,1.0,32.0,1,0,1,0,1,1,0,0,1,0,1,1,1.7047480922384253,7.025982660346787,0.4054651081081644,0.9162907318741551
7761,99.0,0,1,37.97024,2.0,45.0,1,1,0,0,0,1,0,0,1,0,1,1,0.4054651081081644,5.901266279189834,1.5040773967762742,1.7047480922384253
7762,100.0,0,0,37.9863,1.0,40.0,1,1,0,0,0,1,0,0,1,0,1,1,1.252762968495368,7.025982660346787,0.9162907318741551,0.9162907318741551
7763,99.0,1,1,37.97789,1.0,127.0,1,1,1,0,0,0,0,0,0,0,1,0,0.4054651081081644,7.025982660346787,-0.6931471805599453,0.9162907318741551
7764,100.0,0,1,37.9817,1.0,45.0,1,1,0,0,0,0,0,1,0,1,1,1,0.9162907318741551,7.025982660346787,3.1135153092103742,1.252762968495368
7765,91.0,0,1,37.98743,1.0,80.0,1,0,0,0,0,1,0,0,1,0,1,1,0.9162907318741551,3.449987545831587,0.4054651081081644,0.9162907318741551
7766,100.0,0,1,37.9817,1.0,45.0,1,1,0,0,0,0,0,1,0,1,1,1,0.9162907318741551,7.025982660346787,3.7256934272366524,0.9162907318741551
7767,100.0,0,1,37.9817,1.0,42.0,1,1,0,0,0,0,0,1,0,1,1,1,0.9162907318741551,7.025982660346787,3.349904087274605,1.252762968495368
7768,93.0,1,1,37.9648,1.0,104.0,1,1,0,0,0,1,0,1,1,0,1,1,0.4054651081081644,7.025982660346787,0.4054651081081644,1.5040773967762742
7769,99.0,0,1,37.97163,1.0,60.0,1,1,0,0,0,1,0,0,1,0,1,0,1.252762968495368,4.102643365036796,-0.6931471805599453,1.252762968495368
7770,100.0,1,1,37.9572,1.0,35.0,1,1,0,0,0,1,0,0,1,0,1,1,0.9162907318741551,7.025982660346787,2.5257286443082556,1.5040773967762742
7771,100.0,1,1,37.95751,1.0,35.0,1,1,0,0,0,1,0,0,1,0,1,0,0.9162907318741551,7.025982660346787,2.5257286443082556,1.5040773967762742
7772,100.0,1,1,37.96504,1.0,109.0,1,1,0,0,0,1,0,0,1,0,1,1,0.9162907318741551,4.102643365036796,4.269697449699962,0.9162907318741551
7773,100.0,1,1,37.97846,1.0,40.0,1,1,0,0,0,1,0,1,1,0,1,1,1.252762968495368,7.025982660346787,3.1570004211501135,0.9162907318741551
7774,100.0,1,1,37.95791,1.0,30.0,1,1,0,0,0,1,0,0,1,0,1,1,0.9162907318741551,7.025982660346787,1.8718021769015913,0.9162907318741551
7775,100.0,0,1,37.962790000000005,1.0,24.0,1,1,0,0,0,1,0,0,1,0,1,1,0.4054651081081644,5.901266279189834,1.7047480922384253,0.9162907318741551
7776,100.0,1,1,37.95782,1.0,32.0,1,1,0,0,0,1,0,0,1,0,1,0,0.9162907318741551,7.025982660346787,0.4054651081081644,1.252762968495368
7777,100.0,0,1,37.97625,1.0,180.0,1,1,0,0,1,1,0,1,1,0,1,0,0.4054651081081644,7.025982660346787,-0.6931471805599453,1.5040773967762742
7778,100.0,0,1,37.97621,1.0,151.0,1,1,0,0,1,1,0,1,1,0,1,0,0.4054651081081644,7.025982660346787,-0.6931471805599453,1.5040773967762742
7779,100.0,1,1,37.95767,1.0,30.0,1,1,0,0,0,1,0,0,1,0,1,0,0.9162907318741551,7.025982660346787,2.3513752571634776,0.9162907318741551
7780,100.0,1,1,37.95745,1.0,35.0,1,1,0,0,0,1,0,0,1,0,1,0,0.9162907318741551,7.025982660346787,2.3513752571634776,1.252762968495368
7781,100.0,0,1,37.99032,1.0,125.0,1,1,0,0,0,1,0,0,1,1,1,0,1.7047480922384253,3.417726683613366,-0.6931471805599453,1.5040773967762742
7782,100.0,1,1,37.95695,1.0,43.0,1,0,0,0,0,1,0,0,0,0,1,1,0.9162907318741551,7.025982660346787,3.2771447329921766,1.5040773967762742
7783,100.0,1,1,37.99388,1.0,36.0,1,1,0,0,0,1,0,0,1,0,1,1,0.9162907318741551,7.025982660346787,1.252762968495368,1.7047480922384253
7784,100.0,0,1,37.99281,1.5,30.0,1,1,0,0,0,1,0,0,1,0,1,1,0.4054651081081644,7.025982660346787,-0.6931471805599453,0.9162907318741551
7785,100.0,1,0,37.98142,1.0,38.0,1,0,0,0,1,1,0,0,0,0,1,1,1.7047480922384253,4.119037174812473,0.9162907318741551,0.9162907318741551
7786,100.0,0,1,37.96312,1.0,50.0,1,1,0,0,0,1,0,0,1,0,1,1,0.9162907318741551,7.025982660346787,3.3141860046725258,1.5040773967762742
7787,100.0,1,1,37.96694,1.0,126.0,1,1,0,0,0,1,0,0,1,0,1,1,0.4054651081081644,7.025982660346787,3.624340932976365,1.7047480922384253
7788,100.0,0,1,37.9908,1.5,38.0,1,1,0,0,0,1,0,0,1,0,1,0,0.4054651081081644,7.025982660346787,0.4054651081081644,1.7047480922384253
7789,100.0,0,1,37.996361,1.0,150.0,1,1,0,0,0,1,1,0,1,0,1,0,1.252762968495368,1.252762968495368,-0.6931471805599453,2.0149030205422647
7790,94.0,0,1,38.01474,1.0,40.0,1,0,0,0,0,1,0,0,1,0,1,1,1.252762968495368,3.7495040759303713,1.252762968495368,0.9162907318741551
7791,100.0,1,1,37.99892,1.0,80.0,1,1,0,0,0,1,0,1,0,0,1,1,1.252762968495368,7.025982660346787,1.252762968495368,1.5040773967762742
7792,99.0,1,1,37.97803,1.0,127.0,1,1,0,0,0,1,0,1,1,0,1,1,0.4054651081081644,3.449987545831587,3.1986731175506815,0.9162907318741551
7793,99.0,1,1,37.99223,1.0,40.0,1,0,0,0,0,1,0,0,0,0,1,1,0.9162907318741551,7.025982660346787,0.9162907318741551,1.7047480922384253
7794,100.0,1,1,37.96768,1.5,307.0,1,0,0,0,0,1,0,0,1,1,1,1,0.4054651081081644,7.025982660346787,0.4054651081081644,0.9162907318741551
7795,100.0,1,1,37.967678,1.5,293.0,1,0,0,0,0,1,0,1,1,1,1,1,0.4054651081081644,7.025982660346787,1.7047480922384253,0.9162907318741551
7796,100.0,1,1,37.96768,1.5,286.0,1,0,0,0,0,1,0,1,1,1,1,1,0.4054651081081644,7.025982660346787,-0.6931471805599453,0.9162907318741551
7797,100.0,1,1,37.96768,1.5,250.0,1,0,0,0,0,1,0,1,1,1,1,1,0.4054651081081644,7.025982660346787,-0.6931471805599453,0.9162907318741551
7798,100.0,1,1,37.967678,1.0,200.0,1,0,0,0,0,1,0,0,1,1,1,0,0.4054651081081644,7.025982660346787,-0.6931471805599453,0.9162907318741551
7799,100.0,1,1,37.96738,1.0,150.0,1,0,0,0,0,0,0,0,1,1,1,0,0.4054651081081644,7.025982660346787,-0.6931471805599453,0.9162907318741551
7800,100.0,0,1,37.988914,1.0,31.0,1,1,1,0,0,0,0,0,0,0,1,1,0.4054651081081644,7.025982660346787,-0.6931471805599453,0.9162907318741551
7801,100.0,0,1,37.98942,1.0,33.0,1,1,1,0,0,0,0,0,1,0,1,1,0.4054651081081644,7.025982660346787,0.4054651081081644,0.9162907318741551
